len(Wave)                Reflectance
2.810000000000000000e+02 5.727681630945016117e-02
2.815000000000000000e+02 5.702427962327097366e-02
2.820000000000000000e+02 5.666870650154399308e-02
2.825000000000000000e+02 5.618415237145422958e-02
2.830000000000000000e+02 5.570430990292979390e-02
2.835000000000000000e+02 5.522919371262825783e-02
2.840000000000000000e+02 5.475805979027338621e-02
2.845000000000000000e+02 5.429244717563403572e-02
2.850000000000000000e+02 5.383160392065065164e-02
2.855000000000000000e+02 5.359890651127024314e-02
2.860000000000000000e+02 5.337700936500092835e-02
2.865000000000000000e+02 5.315552494993819321e-02
2.870000000000000000e+02 5.293592230697691248e-02
2.875000000000000000e+02 5.271746850772907750e-02
2.880000000000000000e+02 5.250016599215261148e-02
2.885000000000000000e+02 5.231816598272118896e-02
2.890000000000000000e+02 5.221080002758198002e-02
2.895000000000000000e+02 5.210435648002186004e-02
2.900000000000000000e+02 5.200023250322226981e-02
2.905000000000000000e+02 5.189702284680870054e-02
2.910000000000000000e+02 5.179613347926146499e-02
2.915000000000000000e+02 5.169615061245624865e-02
2.920000000000000000e+02 5.149088815376516581e-02
2.925000000000000000e+02 5.119563249635463581e-02
2.930000000000000000e+02 5.090346335585183707e-02
2.935000000000000000e+02 5.061370396766445151e-02
2.940000000000000000e+02 5.032570015723807078e-02
2.945000000000000000e+02 5.004079181072691035e-02
2.950000000000000000e+02 4.975832017899444598e-02
2.955000000000000000e+02 4.948217214212875109e-02
2.960000000000000000e+02 4.921161817698729152e-02
2.965000000000000000e+02 4.894277588001458984e-02
2.970000000000000000e+02 4.867693201800319530e-02
2.975000000000000000e+02 4.841345782190816655e-02
2.980000000000000000e+02 4.815174731431177274e-02
2.985000000000000000e+02 4.789305549759258901e-02
2.990000000000000000e+02 4.769606999919010631e-02
2.995000000000000000e+02 4.756877716244879012e-02
3.000000000000000000e+02 4.744570372886582760e-02
3.005000000000000000e+02 4.732950712933581966e-02
3.010000000000000000e+02 4.721827007805247389e-02
3.015000000000000000e+02 4.711238745186024229e-02
3.020000000000000000e+02 4.701277149855535159e-02
3.025000000000000000e+02 4.698878416060173202e-02
3.030000000000000000e+02 4.725008607938695204e-02
3.035000000000000000e+02 4.751458732860320416e-02
3.040000000000000000e+02 4.778269584876550929e-02
3.045000000000000000e+02 4.805468388673028723e-02
3.050000000000000000e+02 4.832997649312682775e-02
3.055000000000000000e+02 4.860801829442224636e-02
3.060000000000000000e+02 4.888903143576824734e-02
3.065000000000000000e+02 4.899562198383229650e-02
3.070000000000000000e+02 4.903378971136038156e-02
3.075000000000000000e+02 4.907246145965279277e-02
3.080000000000000000e+02 4.911163455506057512e-02
3.085000000000000000e+02 4.915130561681430033e-02
3.090000000000000000e+02 4.919147140411988389e-02
3.095000000000000000e+02 4.923212707044983399e-02
3.100000000000000000e+02 4.925768112970908136e-02
3.105000000000000000e+02 4.911172447945447855e-02
3.110000000000000000e+02 4.897079283589969578e-02
3.115000000000000000e+02 4.883381559395596344e-02
3.120000000000000000e+02 4.870068377443535074e-02
3.125000000000000000e+02 4.857193256475496324e-02
3.130000000000000000e+02 4.844841533807747042e-02
3.135000000000000000e+02 4.832859317448114089e-02
3.140000000000000000e+02 4.823628871464187562e-02
3.145000000000000000e+02 4.822759744944292437e-02
3.150000000000000000e+02 4.822498332042033514e-02
3.155000000000000000e+02 4.822686113380644790e-02
3.160000000000000000e+02 4.823370926047555046e-02
3.165000000000000000e+02 4.824597891613292139e-02
3.170000000000000000e+02 4.826214336193401094e-02
3.175000000000000000e+02 4.828466328272000563e-02
3.180000000000000000e+02 4.829217835573524492e-02
3.185000000000000000e+02 4.821287469546465393e-02
3.190000000000000000e+02 4.813452924047546821e-02
3.195000000000000000e+02 4.805704308831984517e-02
3.200000000000000000e+02 4.798030719038091918e-02
3.205000000000000000e+02 4.790423242126414655e-02
3.210000000000000000e+02 4.782870262711494402e-02
3.215000000000000000e+02 4.775359584737276508e-02
3.220000000000000000e+02 4.767846792167660525e-02
3.225000000000000000e+02 4.753828455115547552e-02
3.230000000000000000e+02 4.739568743931908690e-02
3.235000000000000000e+02 4.725687011864858345e-02
3.240000000000000000e+02 4.712111083153964347e-02
3.245000000000000000e+02 4.698852681302580908e-02
3.250000000000000000e+02 4.685911062298923901e-02
3.255000000000000000e+02 4.673211940325566055e-02
3.260000000000000000e+02 4.660752807413841292e-02
3.265000000000000000e+02 4.650083186766938020e-02
3.270000000000000000e+02 4.641413759781012893e-02
3.275000000000000000e+02 4.632586248249875860e-02
3.280000000000000000e+02 4.623588866267229480e-02
3.285000000000000000e+02 4.614411008449440660e-02
3.290000000000000000e+02 4.604980258120777714e-02
3.295000000000000000e+02 4.595276728305976860e-02
3.300000000000000000e+02 4.585294023589197437e-02
3.305000000000000000e+02 4.574959050582903808e-02
3.310000000000000000e+02 4.564260337606933920e-02
3.315000000000000000e+02 4.542098196251750930e-02
3.320000000000000000e+02 4.517209579470213981e-02
3.325000000000000000e+02 4.491426212397198886e-02
3.330000000000000000e+02 4.464896804867973107e-02
3.335000000000000000e+02 4.437471039471737461e-02
3.340000000000000000e+02 4.408994220600973707e-02
3.345000000000000000e+02 4.379625923731775977e-02
3.350000000000000000e+02 4.349243250160731572e-02
3.355000000000000000e+02 4.320561526662889534e-02
3.360000000000000000e+02 4.291790336932526512e-02
3.365000000000000000e+02 4.262289536714533589e-02
3.370000000000000000e+02 4.232062988330059089e-02
3.375000000000000000e+02 4.201126887380110531e-02
3.380000000000000000e+02 4.169489109500732621e-02
3.385000000000000000e+02 4.137164009579293728e-02
3.390000000000000000e+02 4.104206220053661230e-02
3.395000000000000000e+02 4.070644810031918970e-02
3.400000000000000000e+02 4.031301162203158872e-02
3.405000000000000000e+02 3.989185986770479170e-02
3.410000000000000000e+02 3.947918672946326701e-02
3.415000000000000000e+02 3.907540441432359735e-02
3.420000000000000000e+02 3.868637437242238020e-02
3.425000000000000000e+02 3.831286967497061352e-02
3.430000000000000000e+02 3.795533555131786613e-02
3.435000000000000000e+02 3.761938763821930098e-02
3.440000000000000000e+02 3.730608042458286033e-02
3.445000000000000000e+02 3.700904246417617560e-02
3.450000000000000000e+02 3.670610288110445762e-02
3.455000000000000000e+02 3.642307468977234314e-02
3.460000000000000000e+02 3.616437331566134394e-02
3.465000000000000000e+02 3.593153509814180774e-02
3.470000000000000000e+02 3.572505433954605708e-02
3.475000000000000000e+02 3.554768480030419397e-02
3.480000000000000000e+02 3.540137952219543638e-02
