len(Wave)                Transmitance
2.810000000000000000e+02 1.138769999999999941e-05
2.815000000000000000e+02 1.138769999999999941e-05
2.820000000000000000e+02 1.138769999999999941e-05
2.825000000000000000e+02 1.138769999999999941e-05
2.830000000000000000e+02 1.138769999999999941e-05
2.835000000000000000e+02 1.138769999999999941e-05
2.840000000000000000e+02 1.138769999999999941e-05
2.845000000000000000e+02 1.138769999999999941e-05
2.850000000000000000e+02 1.138769999999999941e-05
2.855000000000000000e+02 1.138769999999999941e-05
2.860000000000000000e+02 1.138769999999999941e-05
2.865000000000000000e+02 1.138769999999999941e-05
2.870000000000000000e+02 1.138769999999999941e-05
2.875000000000000000e+02 1.138769999999999941e-05
2.880000000000000000e+02 1.138769999999999941e-05
2.885000000000000000e+02 1.179050000000000002e-05
2.890000000000000000e+02 1.304940000000000079e-05
2.895000000000000000e+02 1.430829999999999987e-05
2.900000000000000000e+02 1.556719999999999895e-05
2.905000000000000000e+02 1.682610000000000141e-05
2.910000000000000000e+02 1.808500000000000049e-05
2.915000000000000000e+02 1.934389999999999957e-05
2.920000000000000000e+02 2.169920000000000055e-05
2.925000000000000000e+02 2.498849999999999970e-05
2.930000000000000000e+02 2.827769999999999863e-05
2.935000000000000000e+02 3.156699999999999778e-05
2.940000000000000000e+02 3.485630000000000033e-05
2.945000000000000000e+02 3.814550000000000265e-05
2.950000000000000000e+02 4.143479999999999841e-05
2.955000000000000000e+02 4.676380000000000109e-05
2.960000000000000000e+02 5.345269999999999731e-05
2.965000000000000000e+02 6.014170000000000052e-05
2.970000000000000000e+02 6.683059999999999674e-05
2.975000000000000000e+02 7.351950000000000650e-05
2.980000000000000000e+02 8.020840000000000272e-05
2.985000000000000000e+02 8.689729999999999894e-05
2.990000000000000000e+02 9.962260000000000397e-05
2.995000000000000000e+02 1.188870000000000020e-04
3.000000000000000000e+02 1.381520000000000014e-04
3.005000000000000000e+02 1.574170000000000007e-04
3.010000000000000000e+02 1.766820000000000001e-04
3.015000000000000000e+02 1.959460000000000108e-04
3.020000000000000000e+02 2.152110000000000101e-04
3.025000000000000000e+02 2.346600000000000064e-04
3.030000000000000000e+02 2.548429999999999858e-04
3.035000000000000000e+02 2.750259999999999923e-04
3.040000000000000000e+02 2.952089999999999988e-04
3.045000000000000000e+02 3.153920000000000052e-04
3.050000000000000000e+02 3.355750000000000117e-04
3.055000000000000000e+02 3.557580000000000182e-04
3.060000000000000000e+02 3.759410000000000247e-04
3.065000000000000000e+02 3.940050000000000063e-04
3.070000000000000000e+02 4.112459999999999857e-04
3.075000000000000000e+02 4.284870000000000193e-04
3.080000000000000000e+02 4.457269999999999830e-04
3.085000000000000000e+02 4.629680000000000167e-04
3.090000000000000000e+02 4.802089999999999961e-04
3.095000000000000000e+02 4.974499999999999755e-04
3.100000000000000000e+02 5.208250000000000423e-04
3.105000000000000000e+02 6.147470000000000148e-04
3.110000000000000000e+02 7.086689999999999873e-04
3.115000000000000000e+02 8.025919999999999756e-04
3.120000000000000000e+02 8.965139999999999481e-04
3.125000000000000000e+02 9.904359999999999206e-04
3.130000000000000000e+02 1.080000000000000014e-03
3.135000000000000000e+02 1.180000000000000059e-03
3.140000000000000000e+02 1.299999999999999940e-03
3.145000000000000000e+02 1.510000000000000057e-03
3.150000000000000000e+02 1.729999999999999984e-03
3.155000000000000000e+02 1.949999999999999910e-03
3.160000000000000000e+02 2.160000000000000028e-03
3.165000000000000000e+02 2.380000000000000171e-03
3.170000000000000000e+02 2.589999999999999854e-03
3.175000000000000000e+02 2.809999999999999998e-03
